COMM:        sudo
KEY:         20995616
STATUS:      Training
NORM TIME:   2020-02-15 15:35:45
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                    POLL                   SENDTO            00001001
                    POLL                    UNAME            00000010
                    POLL                    FCNTL            00001110
                    POLL                 READLINK            00000110
                    POLL                   GETUID            01000000
                   LSEEK                     READ            11111111
                   LSEEK                    CLOSE            11111110
                   LSEEK                     STAT            11101000
                   LSEEK                    FSTAT            11111111
                   LSEEK                     POLL            00010000
                   LSEEK                    LSEEK            11111111
                   LSEEK                     MMAP            11110000
                   LSEEK                 MPROTECT            10000100
                   LSEEK                   MUNMAP            00000010
                   LSEEK                      BRK            11110110
                   LSEEK                   ACCESS            00000010
                   LSEEK                   SOCKET            11001000
                   LSEEK                  CONNECT            11100100
                   LSEEK                   SENDTO            00100000
                   LSEEK                 RECVFROM            00001100
                   LSEEK                    FCNTL            11000000
                   LSEEK                 READLINK            01000000
                   LSEEK                    UMASK            10000010
                   LSEEK                   GETUID            11000000
                   LSEEK                  GETEUID            00000010
                   LSEEK                SETGROUPS            11011010
                   LSEEK                SETRESUID            01011100
                   LSEEK                GETRESUID            10000100
                   LSEEK                SETRESGID            10110100
                   LSEEK                GETRESGID            01000010
                   LSEEK                    FUTEX            01000000
                   LSEEK               GETDENTS64            00100000
                   LSEEK                   OPENAT            11111111
                   LSEEK                PRLIMIT64            00000100
                    MMAP                     READ            11111111
                    MMAP                    CLOSE            11111011
                    MMAP                     STAT            11010100
                    MMAP                    FSTAT            11111111
                    MMAP                    LSEEK            11111110
                    MMAP                     MMAP            11111111
                    MMAP                 MPROTECT            11111111
                    MMAP                   MUNMAP            01111000
                    MMAP                  RECVMSG            11000000
                    MMAP                    FCNTL            00011100
                    MMAP                GETGROUPS            00011000
                    MMAP                SETRESUID            10000000
                    MMAP                GETRESUID            01110000
                    MMAP                SETRESGID            00011000
                    MMAP                GETRESGID            00111000
                    MMAP                    FUTEX            11101000
                    MMAP                   OPENAT            11111110
                    MMAP                PRLIMIT64            11100000
                MPROTECT                     READ            11111110
                MPROTECT                    CLOSE            11111111
                MPROTECT                     STAT            00100000
                MPROTECT                    FSTAT            11100110
                MPROTECT                    LSEEK            01010100
                MPROTECT                     MMAP            11111111
                MPROTECT                 MPROTECT            11111111
                MPROTECT                  RECVMSG            10000000
                MPROTECT               ARCH_PRCTL            11111111
                MPROTECT                    FUTEX            00010000
                MPROTECT                   OPENAT            11111000
                  MUNMAP                    CLOSE            11111111
                  MUNMAP                     STAT            10000000
                  MUNMAP                    FSTAT            10000000
                  MUNMAP                     POLL            11111000
                  MUNMAP                     MMAP            01111100
                  MUNMAP                 MPROTECT            11111111
                  MUNMAP                   MUNMAP            11111111
                  MUNMAP           RT_SIGPROCMASK            01111111
                  MUNMAP                   SOCKET            11000000
                  MUNMAP                   SENDTO            11110000
                  MUNMAP                 RECVFROM            11111110
                  MUNMAP                  RECVMSG            11000000
                  MUNMAP                    FCNTL            11100000
                     BRK                     READ            11111111
                     BRK                    CLOSE            00100111
                     BRK                    FSTAT            00000100
                     BRK                     POLL            00100000
                     BRK                    LSEEK            00001000
                     BRK                 MPROTECT            10000000
                     BRK                   MUNMAP            11000000
                     BRK                      BRK            00000001
                     BRK             RT_SIGACTION            00011100
                     BRK           RT_SIGPROCMASK            00000110
                     BRK                   ACCESS            00000001
                     BRK                   SENDTO            01000000
                     BRK                 RECVFROM            11011000
                     BRK                   EXECVE            00000011
                     BRK                 READLINK            10000000
                     BRK                SETRESUID            10000010
                     BRK                GETRESUID            00110000
                     BRK                SETRESGID            00000001
                     BRK                GETRESGID            00011000
                     BRK          SET_TID_ADDRESS            01100000
                     BRK                   OPENAT            00011100
                     BRK          SET_ROBUST_LIST            00110000
                     BRK                PRLIMIT64            11100011
            RT_SIGACTION                     READ            11111100
            RT_SIGACTION                    CLOSE            11111100
            RT_SIGACTION                     STAT            11111110
            RT_SIGACTION                    FSTAT            11000000
            RT_SIGACTION                    LSEEK            11110010
            RT_SIGACTION                 MPROTECT            11111000
            RT_SIGACTION                   MUNMAP            00001100
            RT_SIGACTION             RT_SIGACTION            11111111
            RT_SIGACTION           RT_SIGPROCMASK            11111110
            RT_SIGACTION                   ACCESS            00001000
            RT_SIGACTION                    ALARM            11100001
            RT_SIGACTION                 RECVFROM            10000000
            RT_SIGACTION                    CLONE            11111000
            RT_SIGACTION                    WAIT4            11111111
            RT_SIGACTION                    FCNTL            11110010
            RT_SIGACTION                  GETEUID            11111111
            RT_SIGACTION                  GETPGRP            11111110
            RT_SIGACTION          SET_TID_ADDRESS            00000110
            RT_SIGACTION                   OPENAT            00000100
            RT_SIGACTION                    PPOLL            11100000
            RT_SIGACTION          SET_ROBUST_LIST            00000011
            RT_SIGACTION                    PIPE2            11111111
          RT_SIGPROCMASK                     READ            11110111
          RT_SIGPROCMASK                    CLOSE            00011111
          RT_SIGPROCMASK                     POLL            00010000
          RT_SIGPROCMASK                    LSEEK            11111100
          RT_SIGPROCMASK                     MMAP            11111000
          RT_SIGPROCMASK                 MPROTECT            11100010
          RT_SIGPROCMASK                   MUNMAP            00010001
          RT_SIGPROCMASK             RT_SIGACTION            11111111
          RT_SIGPROCMASK           RT_SIGPROCMASK            11111111
          RT_SIGPROCMASK                   SOCKET            10000000
          RT_SIGPROCMASK                   SENDTO            00100000
          RT_SIGPROCMASK                 RECVFROM            00001100
          RT_SIGPROCMASK                  SENDMSG            01000000
          RT_SIGPROCMASK                  RECVMSG            11111111
          RT_SIGPROCMASK                    FCNTL            01000000
          RT_SIGPROCMASK          SET_TID_ADDRESS            00001000
          RT_SIGPROCMASK                    PPOLL            11111100
          RT_SIGPROCMASK          SET_ROBUST_LIST            00000100
          RT_SIGPROCMASK                    PIPE2            00000001
                   IOCTL                     READ            10110001
                   IOCTL                    CLOSE            00000110
                   IOCTL                     STAT            11111100
                   IOCTL                    FSTAT            01010000
                   IOCTL                    LSEEK            00010000
                   IOCTL             RT_SIGACTION            11000000
                   IOCTL           RT_SIGPROCMASK            00100000
                   IOCTL                   GETPID            00001000
                   IOCTL                    UNAME            00000001
                   IOCTL                    FCNTL            00001000
                   IOCTL                   GETCWD            10000000
                   IOCTL                  GETPPID            00000100
                   IOCTL                SETRESUID            00000101
                   IOCTL                SETRESGID            00000010
                   IOCTL                  GETPGID            00000010
                   IOCTL               GETDENTS64            00001100
                   IOCTL                   OPENAT            11100001
                  ACCESS                     READ            00000110
                  ACCESS                    CLOSE            10000001
                  ACCESS                    FSTAT            00001000
                  ACCESS                      BRK            00110010
                  ACCESS                   ACCESS            01100001
                  ACCESS                   EXECVE            11000101
