COMM:        sudo
KEY:         20995616
STATUS:      Training
NORM TIME:   2020-02-15 15:35:45
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                    READ                     READ            11111111
                   CLOSE                     READ            11111111
                    STAT                     READ            11111110
                   FSTAT                     READ            11111111
                    POLL                     READ            11000000
                   LSEEK                     READ            11111111
                    MMAP                     READ            11111100
                MPROTECT                     READ            11111111
                  MUNMAP                     READ            01111010
                     BRK                     READ            00011111
            RT_SIGACTION                     READ            11111100
          RT_SIGPROCMASK                     READ            11111111
                   IOCTL                     READ            10000011
                  ACCESS                     READ            11000000
                   ALARM                     READ            11111110
                  SOCKET                     READ            10110000
                 CONNECT                     READ            11011000
                  SENDTO                     READ            11000000
                RECVFROM                     READ            01110000
                 RECVMSG                     READ            11111000
                   FCNTL                     READ            11111111
                  GETCWD                     READ            00000110
                   UMASK                     READ            00011100
                  GETUID                     READ            10001100
                  SETGID                     READ            00110000
                 GETEUID                     READ            10001000
               GETGROUPS                     READ            01110010
               SETGROUPS                     READ            11111000
               SETRESUID                     READ            01111110
               GETRESUID                     READ            00011100
               SETRESGID                     READ            11111110
               GETRESGID                     READ            10001110
             GETPRIORITY                     READ            00001100
             SETPRIORITY                     READ            00011000
                   PRCTL                     READ            11000000
                   FUTEX                     READ            00010010
              GETDENTS64                     READ            11111110
                  OPENAT                     READ            11111111
                   PPOLL                     READ            01111011
               PRLIMIT64                     READ            11111000
                    READ                    WRITE            10000000
                   WRITE                    WRITE            11111111
                   CLOSE                    WRITE            11000000
                   FSTAT                    WRITE            11111111
               SETGROUPS                    WRITE            11110000
               SETRESUID                    WRITE            11111110
               SETRESGID                    WRITE            11111100
                  OPENAT                    WRITE            11111110
               PRLIMIT64                    WRITE            11111111
                    READ                    CLOSE            11111111
                   CLOSE                    CLOSE            11111111
                    STAT                    CLOSE            11111111
                   FSTAT                    CLOSE            11111110
                    POLL                    CLOSE            11000100
                   LSEEK                    CLOSE            11111110
                    MMAP                    CLOSE            11111111
                MPROTECT                    CLOSE            11111010
                  MUNMAP                    CLOSE            10110000
                     BRK                    CLOSE            11011000
            RT_SIGACTION                    CLOSE            11111111
