COMM:        sudo
KEY:         5264555
STATUS:      Training
NORM TIME:   2020-01-25 13:41:29
ANOMALIES:   0

TRAINING DATA:
                    CURR                     PREV            FLAGS
                   FSTAT           RT_SIGPROCMASK            11100000
                   FSTAT                    IOCTL            00010000
                   FSTAT                   SOCKET            11011000
                   FSTAT                  CONNECT            01101100
                   FSTAT                   SENDTO            01000000
                   FSTAT                 RECVFROM            00011000
                   FSTAT                  RECVMSG            11100000
                   FSTAT               SETSOCKOPT            01010000
                   FSTAT               GETSOCKOPT            10100111
                   FSTAT                    FCNTL            11101110
                   FSTAT                    UMASK            10000100
                   FSTAT                   GETUID            11000010
                   FSTAT                   SETGID            00001000
                   FSTAT                  GETEUID            00000100
                   FSTAT                  GETEGID            10000000
                   FSTAT                SETGROUPS            11111100
                   FSTAT                SETRESUID            11110100
                   FSTAT                GETRESUID            10001000
                   FSTAT                SETRESGID            11111000
                   FSTAT                GETRESGID            01000100
                   FSTAT              GETPRIORITY            01000010
                   FSTAT              SETPRIORITY            00000100
                   FSTAT                    PRCTL            00100000
                   FSTAT                    FUTEX            10001100
                   FSTAT               GETDENTS64            01000100
                   FSTAT                   OPENAT            11111111
                   FSTAT                PRLIMIT64            11111100
                    POLL                     READ            11100000
                    POLL                    CLOSE            10110000
                    POLL                     STAT            00001000
                    POLL                    FSTAT            11000000
                    POLL                    LSEEK            10000000
                    POLL                      BRK            10010000
                    POLL                   SOCKET            00101100
                    POLL                  CONNECT            00010000
                    POLL                   SENDTO            00001001
                    POLL                    FCNTL            00000110
                    POLL                 READLINK            00000010
                    POLL                   GETUID            01000000
                   LSEEK                     READ            11111111
                   LSEEK                    CLOSE            11111110
                   LSEEK                     STAT            11001000
                   LSEEK                    FSTAT            11111111
                   LSEEK                     POLL            00010000
                   LSEEK                    LSEEK            11111111
                   LSEEK                     MMAP            11110000
                   LSEEK                 MPROTECT            10000100
                   LSEEK                   MUNMAP            00000010
                   LSEEK                   ACCESS            00000010
                   LSEEK                   SOCKET            11001000
                   LSEEK                  CONNECT            11100100
                   LSEEK                   SENDTO            00100000
                   LSEEK                 RECVFROM            00001100
                   LSEEK                    FCNTL            01000000
                   LSEEK                    UMASK            10000010
                   LSEEK                   GETUID            11000000
                   LSEEK                  GETEUID            00000010
                   LSEEK                SETGROUPS            11010010
                   LSEEK                SETRESUID            01111000
                   LSEEK                GETRESUID            00000100
                   LSEEK                SETRESGID            10110100
                   LSEEK                GETRESGID            00000010
                   LSEEK                    FUTEX            01000000
                   LSEEK               GETDENTS64            00100000
                   LSEEK                   OPENAT            11111111
                   LSEEK                PRLIMIT64            00000100
                    MMAP                     READ            11111111
                    MMAP                    CLOSE            11111011
                    MMAP                     STAT            11010100
                    MMAP                    FSTAT            11111111
                    MMAP                    LSEEK            11111110
                    MMAP                     MMAP            11111111
                    MMAP                 MPROTECT            11111111
                    MMAP                   MUNMAP            01111000
                    MMAP                  RECVMSG            11000000
                    MMAP                    FCNTL            00011100
                    MMAP                GETRESUID            01100000
                    MMAP                SETRESGID            00011000
                    MMAP                GETRESGID            00110000
                    MMAP                    FUTEX            11101000
                    MMAP                   OPENAT            11111110
                    MMAP                PRLIMIT64            11100000
                MPROTECT                     READ            11111110
                MPROTECT                    CLOSE            11111111
                MPROTECT                     STAT            00100000
                MPROTECT                    FSTAT            11100110
                MPROTECT                    LSEEK            01010100
                MPROTECT                     MMAP            11111111
                MPROTECT                 MPROTECT            11111111
                MPROTECT                  RECVMSG            10000000
                MPROTECT               ARCH_PRCTL            11111111
                MPROTECT                    FUTEX            00010000
                MPROTECT                   OPENAT            11111000
                  MUNMAP                    CLOSE            11111111
                  MUNMAP                     STAT            10000000
                  MUNMAP                    FSTAT            10000000
                  MUNMAP                     POLL            11111000
                  MUNMAP                     MMAP            01111100
                  MUNMAP                 MPROTECT            11111111
                  MUNMAP                   MUNMAP            11111111
                  MUNMAP           RT_SIGPROCMASK            01111111
                  MUNMAP                   SOCKET            11000000
                  MUNMAP                   SENDTO            11110000
                  MUNMAP                 RECVFROM            11111110
                  MUNMAP                  RECVMSG            11000000
                  MUNMAP                    FCNTL            11100000
                     BRK                     READ            11111111
                     BRK                    CLOSE            11011101
                     BRK                    FSTAT            00101001
                     BRK                 MPROTECT            10000000
                     BRK                   MUNMAP            11000000
                     BRK                      BRK            00000001
                     BRK             RT_SIGACTION            11111100
                     BRK           RT_SIGPROCMASK            00000110
                     BRK                   ACCESS            00000001
                     BRK                   EXECVE            00000010
                     BRK                   GETUID            00100100
                     BRK              GETPRIORITY            10000000
                     BRK          SET_TID_ADDRESS            01100000
                     BRK                   OPENAT            01010010
                     BRK          SET_ROBUST_LIST            00110000
                     BRK                PRLIMIT64            00000011
            RT_SIGACTION                     READ            11111100
            RT_SIGACTION                    WRITE            11001010
            RT_SIGACTION                    CLOSE            11111100
            RT_SIGACTION                     STAT            11111110
            RT_SIGACTION                    FSTAT            11000000
            RT_SIGACTION                    LSEEK            11110010
            RT_SIGACTION                 MPROTECT            11111000
            RT_SIGACTION                   MUNMAP            11111111
            RT_SIGACTION             RT_SIGACTION            11111111
            RT_SIGACTION           RT_SIGPROCMASK            11111110
            RT_SIGACTION             RT_SIGRETURN            11100101
            RT_SIGACTION                    IOCTL            10000001
            RT_SIGACTION                   ACCESS            00001000
            RT_SIGACTION                    ALARM            11000001
            RT_SIGACTION                   GETPID            00100000
            RT_SIGACTION                 RECVFROM            10000000
            RT_SIGACTION                    CLONE            11111000
            RT_SIGACTION                    WAIT4            11111111
            RT_SIGACTION                     KILL            00010000
            RT_SIGACTION                    FCNTL            11100010
            RT_SIGACTION                  GETEUID            11111111
            RT_SIGACTION                  GETPGRP            11111110
            RT_SIGACTION                    PRCTL            00000011
            RT_SIGACTION          SET_TID_ADDRESS            00000110
            RT_SIGACTION                   OPENAT            00000110
            RT_SIGACTION                    PPOLL            11100000
            RT_SIGACTION          SET_ROBUST_LIST            00000011
            RT_SIGACTION                    PIPE2            11111111
            RT_SIGACTION                PRLIMIT64            00001100
          RT_SIGPROCMASK                     READ            11111111
          RT_SIGPROCMASK                    WRITE            11111000
          RT_SIGPROCMASK                    CLOSE            01111111
          RT_SIGPROCMASK                     POLL            00010000
          RT_SIGPROCMASK                    LSEEK            11111100
          RT_SIGPROCMASK                     MMAP            11111000
          RT_SIGPROCMASK                 MPROTECT            11100010
          RT_SIGPROCMASK                   MUNMAP            00010001
          RT_SIGPROCMASK             RT_SIGACTION            11111111
          RT_SIGPROCMASK           RT_SIGPROCMASK            11111111
          RT_SIGPROCMASK             RT_SIGRETURN            11111100
          RT_SIGPROCMASK                   SOCKET            10000000
          RT_SIGPROCMASK                   SENDTO            00100000
          RT_SIGPROCMASK                 RECVFROM            00001100
          RT_SIGPROCMASK                  SENDMSG            11010000
          RT_SIGPROCMASK                  RECVMSG            11111111
          RT_SIGPROCMASK                    WAIT4            10000000
          RT_SIGPROCMASK                     KILL            11100000
          RT_SIGPROCMASK                    FCNTL            01000000
          RT_SIGPROCMASK                  GETPGID            11000000
          RT_SIGPROCMASK          SET_TID_ADDRESS            00001000
          RT_SIGPROCMASK                    PPOLL            11111100
          RT_SIGPROCMASK          SET_ROBUST_LIST            00000100
          RT_SIGPROCMASK                    PIPE2            00000001
            RT_SIGRETURN                     READ            11111000
            RT_SIGRETURN                    WRITE            10000101
            RT_SIGRETURN                    CLOSE            00010100
            RT_SIGRETURN             RT_SIGACTION            11111000
            RT_SIGRETURN           RT_SIGPROCMASK            11111100
            RT_SIGRETURN             RT_SIGRETURN            11000010
            RT_SIGRETURN                    IOCTL            01010000
            RT_SIGRETURN                   GETPID            00010100
            RT_SIGRETURN                    WAIT4            01010000
            RT_SIGRETURN                     KILL            00001110
            RT_SIGRETURN                  GETPGID            00001000
            RT_SIGRETURN                   OPENAT            10100000
            RT_SIGRETURN                    PPOLL            01011010
                   IOCTL                     READ            11111101
                   IOCTL                    CLOSE            00000010
                   IOCTL                     STAT            01011100
                   IOCTL                    FSTAT            01010000
                   IOCTL                    LSEEK            00010000
                   IOCTL             RT_SIGACTION            11000000
                   IOCTL           RT_SIGPROCMASK            00101100
                   IOCTL             RT_SIGRETURN            10000000
                   IOCTL                   GETPID            00001000
                   IOCTL                    WAIT4            00000010
                   IOCTL                    UNAME            00000001
                   IOCTL                    FCNTL            00001000
                   IOCTL                   GETCWD            10100000
                   IOCTL                    UMASK            11000000
                   IOCTL                  GETPPID            00000100
                   IOCTL                SETRESUID            00000101
                   IOCTL                SETRESGID            00000010
                   IOCTL                  GETPGID            00000010
                   IOCTL               GETDENTS64            00001100
                   IOCTL                   OPENAT            11110001
                  ACCESS                     READ            00000110
                  ACCESS                    CLOSE            10000001
                  ACCESS                    FSTAT            00001000
                  ACCESS                      BRK            00110000
                  ACCESS                   ACCESS            01100001
                  ACCESS                   EXECVE            11000001
                  ACCESS                    FCNTL            00001111
                  ACCESS                   GETUID            00100000
                  ACCESS              SETPRIORITY            01000000
                  ACCESS               ARCH_PRCTL            00011000
                  ACCESS                   OPENAT            10010000
                   ALARM                     READ            11111110
                   ALARM                    CLOSE            00101000
                   ALARM                    FSTAT            01000000
                   ALARM                    LSEEK            00000101
                   ALARM             RT_SIGACTION            11000001
                   ALARM                   ACCESS            00010100
                   ALARM                    ALARM            11100010
                   ALARM                    FCNTL            11110001
                   ALARM                   OPENAT            10001010
                  GETPID                     READ            11000000
                  GETPID                    CLOSE            00001000
                  GETPID                     STAT            00000001
                  GETPID                     MMAP            11110000
                  GETPID                 MPROTECT            00000100
                  GETPID                   MUNMAP            11111110
                  GETPID             RT_SIGACTION            11111101
                  GETPID           RT_SIGPROCMASK            00110011
                  GETPID                    IOCTL            00000010
                  GETPID                    WAIT4            00001000
                  GETPID                    PRCTL            00000110
                  GETPID                   OPENAT            00000100
                  GETPID                PRLIMIT64            00011000
                  SOCKET                     READ            11111110
                  SOCKET                    CLOSE            11110111
                  SOCKET                     STAT            10000001
                  SOCKET                    FSTAT            00111000
                  SOCKET                     POLL            00100000
                  SOCKET                    LSEEK            11111000
                  SOCKET                     MMAP            11111011
                  SOCKET                 MPROTECT            00001000
                  SOCKET                   MUNMAP            00000100
                  SOCKET                      BRK            00010010
                  SOCKET             RT_SIGACTION            00100100
                  SOCKET           RT_SIGPROCMASK            00000011
                  SOCKET                    IOCTL            01010000
                  SOCKET                    ALARM            01001000
                  SOCKET                   GETPID            00000001
                  SOCKET                   SOCKET            00000100
                  SOCKET                  CONNECT            00000010
                  SOCKET                   SENDTO            01000001
                  SOCKET                 RECVFROM            00011000
                  SOCKET                    UNAME            00100000
                  SOCKET                    FCNTL            10010000
                  SOCKET                 READLINK            10000000
                  SOCKET                   GETUID            11001001
                  SOCKET                   GETGID            00010010
                  SOCKET                  GETEUID            00100100
                  SOCKET                  GETEGID            00001001
                  SOCKET                  GETPPID            10000000
                  SOCKET                SETRESUID            00000010
                  SOCKET                GETRESUID            10000000
                  SOCKET                SETRESGID            00100001
                  SOCKET                GETRESGID            01000000
                  SOCKET                  GETPGID            01000000
                  SOCKET                   GETSID            10010000
                  SOCKET                    PRCTL            00000011
                  SOCKET                   OPENAT            11110000
                  SOCKET                PRLIMIT64            00001100
                 CONNECT                     READ            11010000
                 CONNECT                    CLOSE            01001110
                 CONNECT                     POLL            01000000
                 CONNECT                     MMAP            00110110
                 CONNECT                   MUNMAP            10000000
                 CONNECT             RT_SIGACTION            00001000
                 CONNECT           RT_SIGPROCMASK            01100000
                 CONNECT                    IOCTL            10000000
                 CONNECT                    ALARM            00010000
                 CONNECT                   GETPID            00100000
                 CONNECT                   SOCKET            00011001
                 CONNECT                  CONNECT            00000100
                 CONNECT                   SENDTO            10000000
                 CONNECT                 RECVFROM            00110000
                 CONNECT               SETSOCKOPT            00000101
                 CONNECT               GETSOCKOPT            00001010
                 CONNECT                    FCNTL            00100000
                 CONNECT                   GETUID            10010010
                 CONNECT                   GETGID            00100100
                 CONNECT                  GETEUID            01001000
                 CONNECT                  GETEGID            00010010
                 CONNECT                SETRESUID            00000100
                 CONNECT                SETRESGID            01000010
                 CONNECT                GETRESGID            10000000
                 CONNECT                  GETPGID            10000000
                 CONNECT                   GETSID            00100000
                 CONNECT                   OPENAT            01100000
                  SENDTO                     READ            11111110
                  SENDTO                    CLOSE            11011011
                  SENDTO                     STAT            00000100
                  SENDTO                    FSTAT            11111000
                  SENDTO                     POLL            10000000
                  SENDTO                    LSEEK            01000000
                  SENDTO                      BRK            01001001
                  SENDTO             RT_SIGACTION            10010000
                  SENDTO                    IOCTL            10000000
                  SENDTO                    ALARM            00100000
                  SENDTO                   SOCKET            01110110
                  SENDTO                  CONNECT            00001001
                  SENDTO                   SENDTO            00001100
                  SENDTO                 RECVFROM            01100000
                  SENDTO                  RECVMSG            00000111
                  SENDTO                     BIND            00110010
                  SENDTO              GETSOCKNAME            00011001
                  SENDTO                    FCNTL            01000011
                  SENDTO                 READLINK            00000001
                  SENDTO                   GETUID            01100100
                  SENDTO                SETRESUID            00001000
                  SENDTO                SETRESGID            00000100
                  SENDTO                    PRCTL            11011000
                  SENDTO                   OPENAT            10110000
                  SENDTO                PRLIMIT64            01100000
                RECVFROM                     READ            11000000
                RECVFROM                    CLOSE            11100000
                RECVFROM                     STAT            00110000
                RECVFROM                    FSTAT            10000000
                RECVFROM                     POLL            00000011
                RECVFROM                      BRK            01100000
                RECVFROM                   SOCKET            11111000
                RECVFROM                  CONNECT            01100000
                RECVFROM                   SENDTO            00110110
                RECVFROM                 RECVFROM            00000001
                RECVFROM                    FCNTL            00011100
                RECVFROM                 READLINK            00001100
                RECVFROM                   GETUID            10000000
                 SENDMSG                    FSTAT            11100100
                 SENDMSG                  CONNECT            01000000
                 SENDMSG                  SENDMSG            10111100
                 SENDMSG                  RECVMSG            10101111
                 SENDMSG              GETSOCKNAME            01111001
                 SENDMSG               SETSOCKOPT            10000000
                 SENDMSG               GETSOCKOPT            11111010
                 SENDMSG                   GETTID            01011010
                 SENDMSG                    PPOLL            01000110
                 RECVMSG                    FSTAT            11111000
                 RECVMSG                   SOCKET            11111000
                 RECVMSG                  CONNECT            10000000
                 RECVMSG                   SENDTO            01111111
                 RECVMSG                  SENDMSG            11111111
